[00:00.000 --> 00:02.000]  We've got it
[01:23:17.460 --> 01:23:26.460]  I definitely want to take this chance to talk to all those troops out there that are listening right now that might have had that thought go through their head of suicide.
[01:23:26.460 --> 01:23:27.460]  We need you in this fight.
[01:23:27.460 --> 01:23:33.460]  We don't need you to lose your life anywhere on any battlefield, especially one in your mind.
[01:23:33.460 --> 01:23:43.460]  You need to turn that energy toward this info war and go after somebody in the Illuminati, somebody in the New World Order.
[01:23:43.460 --> 01:23:49.460]  Just like right now, Alex Jones, you're not telling the truth about hiring Mallory Maloney.
[01:23:49.460 --> 01:23:51.460]  Oh, I appreciate your call.
[01:23:51.460 --> 01:23:55.460]  My gosh, that caller calls in and sits there and obsesses over stuff.
[01:23:55.460 --> 01:23:56.460]  It's unbelievable.
[01:23:56.460 --> 01:23:58.460]  Let's talk to Ron in Arizona.
[01:23:58.460 --> 01:23:59.460]  Ron, you're on the air.
[01:23:59.460 --> 01:24:01.460]  Go ahead.
[01:24:01.460 --> 01:24:04.460]  Good afternoon, Alex.
[01:24:04.460 --> 01:24:19.460]  I got an email a couple of days ago from a buddy of mine in the Air Force we served over in Germany in the 70s, and it was called The Last Words of So-and-So.
[01:24:19.460 --> 01:24:27.460]  I thought he had committed suicide, and his wife had sent this out to all the people on his email list.
[01:24:27.460 --> 01:24:36.460]  Obviously, I sent an email back, and I just got an email from him saying, no, I didn't kill myself.
[01:24:36.460 --> 01:24:39.460]  This is just preparation for it.
[01:24:39.460 --> 01:24:55.460]  But I think the reason why a lot of these guys in the military are committing suicide is because it's just too much pressure.
[01:24:55.460 --> 01:25:02.460]  And especially if you're under the fear of being blown up by IED.
[01:25:02.460 --> 01:25:04.460]  You know, that's something I've never thought of.
[01:25:04.460 --> 01:25:10.460]  I am less afraid of being killed than I am of being locked up in some dungeon.
[01:25:10.460 --> 01:25:13.460]  And so that's something that I really never thought of.
[01:25:13.460 --> 01:25:21.460]  Are they committing suicide, a lot of them, when they're being forced to go back just because they're so sick of it all?
[01:25:21.460 --> 01:25:22.460]  Well, yeah.
[01:25:22.460 --> 01:25:24.460]  Also, the living conditions are horrendous.
[01:25:24.460 --> 01:25:29.460]  I mean, I never went bivouacking when I was in the Air Force.
[01:25:29.460 --> 01:25:35.460]  One of the guys I served with went out on a bivouac.
[01:25:35.460 --> 01:25:42.460]  But you're out in the wilderness or the wild or whatever you want to call it,
[01:25:42.460 --> 01:25:49.460]  and you're living in tents and sleeping on the ground and eating the lousiest food you could ever imagine.
[01:25:49.460 --> 01:25:57.460]  Imagine these guys in Afghanistan and Iraq doing that for a year or more at a time.
[01:25:57.460 --> 01:25:59.460]  Well, on top of it, they're putting them on the psychotropics.
[01:25:59.460 --> 01:26:01.460]  They're re-upping them.
[01:26:01.460 --> 01:26:03.460]  The IRS is going after them at home.
[01:26:03.460 --> 01:26:05.460]  They're going bankrupt.
[01:26:05.460 --> 01:26:07.460]  A lot of that feeds into it.
[01:26:07.460 --> 01:26:08.460]  They've never...
[01:26:08.460 --> 01:26:11.460]  I mean, let's say you're supposed to put 50,000 miles on a pair of tires.
[01:26:11.460 --> 01:26:15.460]  They've put 300, 400,000 miles on these guys.
[01:26:15.460 --> 01:26:17.460]  And then the media doesn't want to focus on it.
[01:26:17.460 --> 01:26:21.460]  They want to just demonize the veterans and say, oh, they're dangerous,
[01:26:21.460 --> 01:26:24.460]  when statistically they're not that dangerous.
[01:26:24.460 --> 01:26:27.460]  But hyping it up every time one of them goes haywire.
[01:26:27.460 --> 01:26:28.460]  Thank you, Ron.
[01:26:28.460 --> 01:26:30.460]  I'm glad your body didn't commit suicide.
[01:26:30.460 --> 01:26:34.460]  Sandy in Texas, what's your story?
[01:26:34.460 --> 01:26:41.460]  I was in Iraq in 2004, and I was in Afghanistan in 2007.
[01:26:41.460 --> 01:26:48.460]  And as a nurse, I was just absolutely astounded at the number of troops on psych drugs,
[01:26:48.460 --> 01:26:51.460]  some of them three and four different types of psych drugs.
[01:26:51.460 --> 01:26:52.460]  Sure, ma'am.
[01:26:52.460 --> 01:26:54.460]  When you called us, you were on a handheld deal.
[01:26:54.460 --> 01:26:56.460]  You're on speakerphone right now.
[01:26:56.460 --> 01:26:57.460]  I'd really like to be able to hear you.
[01:26:57.460 --> 01:27:01.460]  So when the callers go on air, let's go to the actual handheld deal.
[01:27:01.460 --> 01:27:05.460]  Can you go off speakerphone, please?
[01:27:05.460 --> 01:27:06.460]  Yes.
[01:27:06.460 --> 01:27:07.460]  Yeah, go ahead.
[01:27:07.460 --> 01:27:08.460]  Start over.
[01:27:08.460 --> 01:27:13.460]  I was in Iraq in 2004 and Afghanistan in 2007, and I worked in medical.
[01:27:13.460 --> 01:27:19.460]  And I was just absolutely astounded at the number of psych drugs these troops are on.
[01:27:19.460 --> 01:27:25.460]  One individual can be on three to four different types of psych drugs
[01:27:25.460 --> 01:27:31.460]  and still be given a weapon and sent to Afghanistan or Iraq.
[01:27:31.460 --> 01:27:34.460]  And in Iraq, we had multiple.
[01:27:34.460 --> 01:27:38.460]  In 2004, it was a ridiculous amount of suicide.
[01:27:38.460 --> 01:27:44.460]  And that's hard to do with a-
[01:27:44.460 --> 01:27:46.460]  Yeah, I'd love to be able to hear what you're saying.
[01:27:46.460 --> 01:27:47.460]  It's so important.
[01:27:47.460 --> 01:27:50.460]  I'm going to put you on hold and see if we can call you back
[01:27:50.460 --> 01:27:53.460]  or if you can call us back on a landline.
[01:27:53.460 --> 01:27:55.460]  Because that cordless phone or whatever is out of batteries,
[01:27:55.460 --> 01:28:02.460]  and it just plagues us the quality of phones in this country, cell phone, landline, you name it.
[01:28:02.460 --> 01:28:03.460]  Okay, well, that's all you've got.
[01:28:03.460 --> 01:28:05.460]  Go ahead and finish up then.
[01:28:05.460 --> 01:28:12.460]  So you're saying you worked in medical and they were on what, Luvox, you name it?
[01:28:12.460 --> 01:28:15.460]  Just go down the list.
[01:28:15.460 --> 01:28:20.460]  Lithium-type drugs, all of them dangerous, every single one of them.
[01:28:20.460 --> 01:28:24.460]  And people on two and three different types of them.
[01:28:24.460 --> 01:28:30.460]  And the vaccines on top of that, I mean, when I went over,
[01:28:30.460 --> 01:28:34.460]  I took the nasal, which was the live vaccine.
[01:28:34.460 --> 01:28:36.460]  Yeah, absolutely.
[01:28:36.460 --> 01:28:37.460]  You can tell you're a nurse.
[01:28:37.460 --> 01:28:38.460]  You know how deadly that is.
[01:28:38.460 --> 01:28:39.460]  Ma'am, call us back.
[01:28:39.460 --> 01:28:41.460]  Give her our hotline number.
[01:28:41.460 --> 01:28:43.460]  I'd like to get her on as a guest.
[01:28:43.460 --> 01:28:46.460]  I want to get her on as a guest, as a guest.
[01:28:46.460 --> 01:28:49.460]  I want to get her on as a guest, as a guest.
[01:28:49.460 --> 01:28:50.460]  I want to make sure that happens.
[01:28:50.460 --> 01:28:52.460]  We'll be back with more of your calls on the other side.
[01:28:52.460 --> 01:28:53.460]  Stay with us.
[01:28:53.460 --> 01:28:54.460]  We're going to put her on hold.
[01:28:54.460 --> 01:29:00.460]  We'll be back with more of your calls coming up.
[01:29:24.460 --> 01:29:30.460]  We'll be back with more of your calls.
[01:29:54.460 --> 01:30:00.460]  Call us at mfawarstore.com or by calling 888-253-3139.
[01:30:00.460 --> 01:30:05.460]  It's no secret that pathogens such as bacteria, viruses, moles, and fungus
[01:30:05.460 --> 01:30:07.460]  can inflict severe damage in the human body.
[01:30:07.460 --> 01:30:12.460]  Fortunately, a new and vastly improved silver solution has been developed.
[01:30:12.460 --> 01:30:17.460]  Supernatural Silver is a revolutionary, broad-spectrum, antibacterial,
[01:30:17.460 --> 01:30:21.460]  antiviral, antifungal solution that can be used inside the body
[01:30:21.460 --> 01:30:23.460]  as well as on the skin.
[01:30:23.460 --> 01:30:28.460]  Supernatural Silver is unique and superior to colloidal and ionic silvers
[01:30:28.460 --> 01:30:31.460]  using a patented technology that is highly effective against
[01:30:31.460 --> 01:30:34.460]  colds, flus, infections, food poisoning, and yeast,
[01:30:34.460 --> 01:30:36.460]  in addition to many other pathogens.
[01:30:36.460 --> 01:30:41.460]  Supernatural Silver is scientifically supported, extremely safe,
[01:30:41.460 --> 01:30:45.460]  and is the number one choice of thousands of people for immune system support.
[01:30:45.460 --> 01:30:49.460]  Find out how Supernatural Silver could change your life.
[01:30:49.460 --> 01:30:54.460]  Go to supernaturalsilver.com and use the promo code healthy for 20% off.
[01:30:54.460 --> 01:30:59.460]  That's supernaturalsilver.com and like us on Facebook.
[01:30:59.460 --> 01:31:06.460]  If you want an American company with American products made by Americans,
[01:31:06.460 --> 01:31:09.460]  here is the Cal-Ben Soap Company.
[01:31:09.460 --> 01:31:13.460]  Alex and his staff have used these pure soap products for years.
[01:31:13.460 --> 01:31:17.460]  These all-natural soaps are made from the highest quality vegetable
[01:31:17.460 --> 01:31:21.460]  and coconut oils that are earth-friendly and safe.
[01:31:21.460 --> 01:31:24.460]  See them on the web at 5starsoap.com
[01:31:24.460 --> 01:31:29.460]  or call 800-340-7091 for a free catalog.
[01:31:29.460 --> 01:31:31.460]  Buy the one- to two-month sample package
[01:31:31.460 --> 01:31:35.460]  and enjoy soaps that are twice as good as what you're using now
[01:31:35.460 --> 01:31:40.460]  or save big with a one- to two-year supply of soaps for all your cleaning needs.
[01:31:40.460 --> 01:31:42.460]  This is an amazing deal.
[01:31:42.460 --> 01:31:47.460]  You can save thousands of dollars and you will love the way real soap makes you feel.
[01:31:47.460 --> 01:31:50.460]  See them on the web at 5starsoap.com
[01:31:50.460 --> 01:31:59.460]  or call 800-340-7091 for a free catalog.
[01:31:59.460 --> 01:32:03.460]  You prepare by purchasing gold, food, and firearms,
[01:32:03.460 --> 01:32:05.460]  but if you don't have a home security system
[01:32:05.460 --> 01:32:09.460]  then you're missing a critical weapon in your arsenal for home protection.
[01:32:09.460 --> 01:32:13.460]  When you're sleeping or away from home, who's watching out for intruders?
[01:32:13.460 --> 01:32:15.460]  Check out SimpliSafe.
[01:32:15.460 --> 01:32:19.460]  It's a new do-it-yourself home security system that is completely wireless.
[01:32:19.460 --> 01:32:22.460]  Go to getsimplisafe.com.
[01:32:22.460 --> 01:32:24.460]  SimpliSafe is independent and off the grid.
[01:32:24.460 --> 01:32:29.460]  It runs on battery power, so even if the grid goes down, you are protected.
[01:32:29.460 --> 01:32:32.460]  It's completely customizable, so you can use it in your home,
[01:32:32.460 --> 01:32:35.460]  business, boat, trailer, storage unit, or shed.
[01:32:35.460 --> 01:32:38.460]  Getsimplisafe.com.
[01:32:38.460 --> 01:32:42.460]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes,
[01:32:42.460 --> 01:32:45.460]  so there's no need to let a stranger into your home.
[01:32:45.460 --> 01:32:49.460]  If you move or need to relocate, you can take the system with you wherever you go.
[01:32:49.460 --> 01:32:52.460]  You aren't always at home, but SimpliSafe will stand guard,
[01:32:52.460 --> 01:32:56.460]  protecting your property 24 hours a day, seven days a week.
[01:32:56.460 --> 01:33:01.460]  Again, that's getsimplisafe.com.
[01:33:01.460 --> 01:33:04.460]  Coast to coast, direct from Austin.
[01:33:04.460 --> 01:33:09.460]  You're listening to the Alex Jones Broadcasting Network.
[01:33:15.460 --> 01:33:19.460]  We now take you live to the Central Texas Command Center
[01:33:19.460 --> 01:33:21.460]  in the heart of the resistance.
[01:33:21.460 --> 01:33:24.460]  You're listening to the Alex Jones Show.
[01:33:29.460 --> 01:33:32.460]  We've got three or four more callers who say that they've had friends and family
[01:33:32.460 --> 01:33:35.460]  commit suicide or knew people in the military that did,
[01:33:35.460 --> 01:33:37.460]  but we got Sandy on a better line.
[01:33:37.460 --> 01:33:41.460]  She was a nurse in medical, and the statistics are there.
[01:33:41.460 --> 01:33:43.460]  I mean, you heard her.
[01:33:43.460 --> 01:33:45.460]  They can put them on three psychotropics at once.
[01:33:45.460 --> 01:33:49.460]  They put foster children, 68% of them national average,
[01:33:49.460 --> 01:33:54.460]  on an average of seven drugs apiece, many of them psychotropics,
[01:33:54.460 --> 01:33:58.460]  because they get more money for a special needs child,
[01:33:58.460 --> 01:34:01.460]  so they'll make you special needs to get that money.
[01:34:01.460 --> 01:34:05.460]  And some foster parents, some people in the system are not immoral
[01:34:05.460 --> 01:34:07.460]  and don't do that, but a lot of them are,
[01:34:07.460 --> 01:34:10.460]  in a culture where you just make excuses for whatever gets you ahead
[01:34:10.460 --> 01:34:14.460]  so you can go get more money for foster kids you've got on seven drugs
[01:34:14.460 --> 01:34:19.460]  to buy that Gucci bag that you're selling your soul for.
[01:34:19.460 --> 01:34:28.460]  But they're now reporting that drones, again, are chasing the suspect.
[01:34:28.460 --> 01:34:34.460]  The drones are going to save us, the reported person shooting police.
[01:34:34.460 --> 01:34:37.460]  It just goes on and on.
[01:34:37.460 --> 01:34:40.460]  But notice two weeks ago you had Al Sharpton say,
[01:34:40.460 --> 01:34:42.460]  hey, forget your second amendment for government.
[01:34:42.460 --> 01:34:44.460]  We got drones to take you out.
[01:34:44.460 --> 01:34:46.460]  Really, the drones couldn't hold Baghdad.
[01:34:46.460 --> 01:34:48.460]  They can't hold Afghanistan.
[01:34:48.460 --> 01:34:52.460]  One guy's got Southern California paralyzed in fear.
[01:34:52.460 --> 01:34:55.460]  If the globalists start a civil war, ladies and gentlemen,
[01:34:55.460 --> 01:34:58.460]  there's no way they'll win with physical force.
[01:34:58.460 --> 01:35:02.460]  They're going to stage terror attacks against soft targets with children
[01:35:02.460 --> 01:35:06.460]  and blame the Patriot movement for it and stage a psyop.
[01:35:06.460 --> 01:35:08.460]  Why isn't this a psyop?
[01:35:08.460 --> 01:35:12.460]  They would never do something like this where one of their people does some of this.
[01:35:12.460 --> 01:35:15.460]  And this whole background and how they want the image of
[01:35:15.460 --> 01:35:18.460]  they're the good guys, you're the bad guy.
[01:35:18.460 --> 01:35:19.460]  You understand that?
[01:35:19.460 --> 01:35:22.460]  And the whole MO, the background, all of it.
[01:35:22.460 --> 01:35:25.460]  If it is staged, I haven't seen the angles yet.
[01:35:25.460 --> 01:35:29.460]  All right, Sandy, who was working in medical in Iraq,
[01:35:29.460 --> 01:35:31.460]  talking about what she witnessed.
[01:35:31.460 --> 01:35:34.460]  Recap what you said because it was very important,
[01:35:34.460 --> 01:35:36.460]  but some of it was breaking up.
[01:35:36.460 --> 01:35:40.460]  We're talking about people that know folks that committed suicide in the military,
[01:35:40.460 --> 01:35:44.460]  how the media has been trying to cover this up and not make it a big issue,
[01:35:44.460 --> 01:35:46.460]  and what people who've experienced it,
[01:35:46.460 --> 01:35:49.460]  what they think is causing folks to commit suicide.
[01:35:49.460 --> 01:35:52.460]  So, Sandy, go ahead and recap what you were saying.
[01:35:52.460 --> 01:35:59.460]  Yes, I was in Iraq in 2004 and in Afghanistan in 2007 as a nurse,
[01:35:59.460 --> 01:36:03.460]  and I saw all the troops on these psych drugs,
[01:36:03.460 --> 01:36:08.460]  everything from serotonin uptake to lithium-type drugs,
[01:36:08.460 --> 01:36:12.460]  some individuals up to three different types of psych drugs.
[01:36:12.460 --> 01:36:16.460]  There was no screening, no psych screening for these people.
[01:36:16.460 --> 01:36:22.460]  They just went through the tour and they said,
[01:36:22.460 --> 01:36:24.460]  okay, what type of psych drugs you're on,
[01:36:24.460 --> 01:36:26.460]  and they just wrote them down and there you go.
[01:36:26.460 --> 01:36:28.460]  We'll just keep refilling you.
[01:36:28.460 --> 01:36:31.460]  But these people would have breakdowns.
[01:36:31.460 --> 01:36:32.460]  They would crack up.
[01:36:32.460 --> 01:36:35.460]  They would be involved in incidents.
[01:36:35.460 --> 01:36:38.460]  And this went on and on, and suicides over there, too,
[01:36:38.460 --> 01:36:42.460]  which is hard to do with an M16 or an M4 rifle.
[01:36:42.460 --> 01:36:46.460]  You literally have to almost use your toes to pull the trigger.
[01:36:46.460 --> 01:36:52.460]  And a lot of these deaths were under very, very mysterious circumstances,
[01:36:52.460 --> 01:36:58.460]  like we had an attempted suicide and a suicide at the same time,
[01:36:58.460 --> 01:37:04.460]  and one was in finance where they were missing millions and millions of dollars,
[01:37:04.460 --> 01:37:09.460]  and as soon as this person turned up dead, they said it was suicide.
[01:37:09.460 --> 01:37:13.460]  I was about to say a lot of these suicides are actually fraggings
[01:37:13.460 --> 01:37:17.460]  because there have been hundreds of deaths where fraud investigators
[01:37:17.460 --> 01:37:19.460]  from the Army, the Marines show up at a base
[01:37:19.460 --> 01:37:25.460]  and then get killed in the trailer where they're running their accounting operation,
[01:37:25.460 --> 01:37:28.460]  and you're saying that you were around some of that as well.
[01:37:28.460 --> 01:37:29.460]  Exactly.
[01:37:29.460 --> 01:37:33.460]  These people, they called everything over there was suicide,
[01:37:33.460 --> 01:37:38.460]  even though there were some that they actually had to say was murder,
[01:37:38.460 --> 01:37:42.460]  but they had troops murdering each other, which was a real shock.
[01:37:42.460 --> 01:37:46.460]  A lot of that didn't go on in the other wars,
[01:37:46.460 --> 01:37:49.460]  but there was a lot of it going on in Iraq and Afghanistan,
[01:37:49.460 --> 01:37:52.460]  troops murdering each other, and then the suicides
[01:37:52.460 --> 01:37:55.460]  and then the mysterious deaths on top of everything.
[01:37:55.460 --> 01:37:58.460]  And I was concerned with all the drugs,
[01:37:58.460 --> 01:38:03.460]  the people that are walking around with loaded weapons on three and four psych drugs,
[01:38:03.460 --> 01:38:05.460]  let alone just one psych drug.
[01:38:05.460 --> 01:38:09.460]  Well, I remember five years ago hearing about Blackwater, now XZ,
[01:38:09.460 --> 01:38:14.460]  on cocaine running around naked, shooting up families for fun,
[01:38:14.460 --> 01:38:18.460]  and I thought it was left-wing propaganda or something
[01:38:18.460 --> 01:38:21.460]  until it came out years later in federal court.
[01:38:21.460 --> 01:38:24.460]  It was going on, reportedly mountains of cocaine.
[01:38:24.460 --> 01:38:28.460]  So if that's going on there, imagine what's happening on the other side.
[01:38:28.460 --> 01:38:31.460]  We are just an immoral nation on average,
[01:38:31.460 --> 01:38:33.460]  and it's going to manifest in the military,
[01:38:33.460 --> 01:38:38.460]  but you've got the officers like royalty flying around with their camp followers
[01:38:38.460 --> 01:38:41.460]  and their basically paid prostitutes,
[01:38:41.460 --> 01:38:45.460]  and then you've got the troops in lice-infested aircraft,
[01:38:45.460 --> 01:38:48.460]  C-130s flying back to Iraq defecating in buckets.
[01:38:48.460 --> 01:38:50.460]  That's come out on the news.
[01:38:50.460 --> 01:38:54.460]  It's just a system coming off the rails on more and more fronts.
[01:38:54.460 --> 01:38:57.460]  Do you concur with what I just said?
[01:38:57.460 --> 01:38:59.460]  Oh, yeah, I was there.
[01:38:59.460 --> 01:39:04.460]  On the bottom of some of them, C-130s, 135s, they're nasty,
[01:39:04.460 --> 01:39:08.460]  and the bathrooms don't work, and the conditions over there are deplorable.
[01:39:08.460 --> 01:39:13.460]  People would say, well, that's just most of these people are just depressed
[01:39:13.460 --> 01:39:16.460]  from the conditions that the soldiers have to be in.
[01:39:16.460 --> 01:39:23.460]  In Iraq, they literally lived in railroad boxes during the summer
[01:39:23.460 --> 01:39:26.460]  with 120 degrees heat in Iraq.
[01:39:26.460 --> 01:39:28.460]  You're living inside a metal box.
[01:39:28.460 --> 01:39:29.460]  They're in the green zone.
[01:39:29.460 --> 01:39:32.460]  There are hookers lined up around the block and everything else.
[01:39:32.460 --> 01:39:35.460]  Oh, and there's so much illegal drugs over there.
[01:39:35.460 --> 01:39:39.460]  I mean, I have pictures from Afghanistan where, you know,
[01:39:39.460 --> 01:39:41.460]  the troops would just bring back.
[01:39:41.460 --> 01:39:45.460]  They'd take pictures of the marijuana fields and bring back samples and stuff.
[01:39:45.460 --> 01:39:48.460]  So much of it floating around is just beyond.
[01:39:48.460 --> 01:39:52.460]  Listen, you heard about the 60-something billion in pallets of cash
[01:39:52.460 --> 01:39:56.460]  where they would give privates 30 grand, they would give captains 100 grand,
[01:39:56.460 --> 01:40:00.460]  colonels 200, 300 grand, generals a couple million.
[01:40:00.460 --> 01:40:04.460]  That was to corrupt them just like they bought off the local warlords.
[01:40:04.460 --> 01:40:07.460]  And, you know, I've talked to family about it who was in Iraq,
[01:40:07.460 --> 01:40:08.460]  and they go, I'm not going to talk about it.
[01:40:08.460 --> 01:40:10.460]  Don't ask me about it.
[01:40:10.460 --> 01:40:13.460]  And it's like, yeah, right, I like that new truck and that new house.
[01:40:13.460 --> 01:40:19.460]  I mean, that's what's going on is just the total seduction of our military.
[01:40:19.460 --> 01:40:22.460]  But I believe the psych drugs are the number one cause
[01:40:22.460 --> 01:40:27.460]  and the insert says massively increases suicide, megalomania, mass murder.
[01:40:27.460 --> 01:40:32.460]  And you're saying as a medical worker, what a nurse, that you concur with that?
[01:40:32.460 --> 01:40:34.460]  I mean, yes.
[01:40:34.460 --> 01:40:38.460]  Here in the civilian life, that's bad enough being on these type of drugs
[01:40:38.460 --> 01:40:39.460]  that will trigger suicide.
[01:40:39.460 --> 01:40:42.460]  But you take that person and you put them in a stressful situation
[01:40:42.460 --> 01:40:45.460]  or a combat situation, duh.
[01:40:45.460 --> 01:40:49.460]  Well, again, what psychotropics do is they take away the inhibition
[01:40:49.460 --> 01:40:50.460]  and the anxiety.
[01:40:50.460 --> 01:40:53.460]  I mean, normally, you have a feeling you want to kill somebody.
[01:40:53.460 --> 01:40:54.460]  It's just a feeling.
[01:40:54.460 --> 01:40:58.460]  And let's be honest, everybody's had the feeling of just a compulsion
[01:40:58.460 --> 01:41:01.460]  of choking somebody or something like that.
[01:41:01.460 --> 01:41:03.460]  I mean, if somebody tells you they have it, they're lying.
[01:41:03.460 --> 01:41:07.460]  You take one of these drugs, well, you have the compulsion, you just do it.
[01:41:07.460 --> 01:41:09.460]  It takes away the inhibition.
[01:41:09.460 --> 01:41:11.460]  Anything else you'd like to add, ma'am?
[01:41:11.460 --> 01:41:14.460]  Very powerful call.
[01:41:14.460 --> 01:41:18.460]  People need to be concerned about the vaccines.
[01:41:18.460 --> 01:41:22.460]  When we went over to Afghanistan, everybody got the live vaccine,
[01:41:22.460 --> 01:41:26.460]  which is the nasal vaccine, and they went around and made us hold our head back
[01:41:26.460 --> 01:41:28.460]  and they counted to like 20 or whatever.
[01:41:28.460 --> 01:41:30.460]  By the way, that's illegal to give in the U.S.
[01:41:30.460 --> 01:41:32.460]  That's got live viruses in it.
[01:41:32.460 --> 01:41:33.460]  That's right.
[01:41:33.460 --> 01:41:34.460]  By the way, they gave you-
[01:41:34.460 --> 01:41:35.460]  All the troops going over there.
[01:41:35.460 --> 01:41:37.460]  That strain has SV40.
[01:41:37.460 --> 01:41:38.460]  It has cancer virus in it.
[01:41:38.460 --> 01:41:39.460]  Go ahead.
[01:41:39.460 --> 01:41:45.460]  I came back with exotic diseases that even as a nurse I had barely heard of.
[01:41:45.460 --> 01:41:50.460]  I came back, after the live vaccine, I came back from a one-year tour in Afghanistan
[01:41:50.460 --> 01:41:59.460]  with Hashimoto autoimmune thyroid disease, Raynaud's disease, Vitiligo,
[01:41:59.460 --> 01:42:01.460]  which is a skin autoimmune disease.
[01:42:01.460 --> 01:42:05.460]  Yeah, no, they're using, look, it's been, they shot up gay men in New York
[01:42:05.460 --> 01:42:09.460]  and other areas with the hepatitis vaccine with HIV.
[01:42:09.460 --> 01:42:12.460]  That's come on congressional reports in the late 70s.
[01:42:12.460 --> 01:42:15.460]  They use the troops as the vectors now.
[01:42:15.460 --> 01:42:18.460]  You're a nurse, you know what that means, but they shoot people up
[01:42:18.460 --> 01:42:20.460]  to then come back and bring it back.
[01:42:20.460 --> 01:42:24.460]  Just like the atomic soldiers, the DU, all the guinea pigging,
[01:42:24.460 --> 01:42:27.460]  the black men and syphilis, they're using you.
[01:42:27.460 --> 01:42:32.460]  And while saying they love you, would you rather be patted on the head of the Super Bowl
[01:42:32.460 --> 01:42:35.460]  or would you rather not be given all these diseases?
[01:42:35.460 --> 01:42:37.460]  I would rather not have the diseases.
[01:42:37.460 --> 01:42:41.460]  And everybody I know, I go to the VA hospital and we're all dying of cancer.
[01:42:41.460 --> 01:42:47.460]  Well, ma'am, ma'am, the nasal vaccine you were given,
[01:42:47.460 --> 01:42:50.460]  was it a polio vaccine or a flu vaccine?
[01:42:50.460 --> 01:42:52.460]  No, it's supposed to have been a flu.
[01:42:52.460 --> 01:42:54.460]  Yeah, no, Cancer Virus City.
[01:42:54.460 --> 01:42:57.460]  I mean, folks, more of your calls coming up.
[01:42:57.460 --> 01:42:58.460]  This is unbelievable.
[01:42:58.460 --> 01:43:21.460]  God bless you.
[01:43:28.460 --> 01:43:31.460]  E Foods just in time to be able to help my sister and my niece.
[01:43:31.460 --> 01:43:35.460]  Bottom line, it's better to be prepared ten years too early than one day too late.
[01:43:35.460 --> 01:43:38.460]  Heed common sense's warning and do what I've done.
[01:43:38.460 --> 01:43:43.460]  Call 800-409-5633 today or go to efoodsdirect.com forward slash Alex.
[01:43:43.460 --> 01:43:46.460]  They have the best tasting long-term storable food on the planet.
[01:43:46.460 --> 01:43:51.460]  Call 800-409-5633 and ask about the Alex Jones special
[01:43:51.460 --> 01:43:53.460]  or go to efoodsdirect.com forward slash Alex.
[01:43:53.460 --> 01:43:55.460]  Get self-sufficient today.
[01:43:55.460 --> 01:44:00.460]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:44:00.460 --> 01:44:03.460]  Now that we have moved into the winter season,
[01:44:03.460 --> 01:44:07.460]  there is an increased need to support our immunity and health.
[01:44:07.460 --> 01:44:10.460]  At Silver Lungs, we are committed to meeting your needs
[01:44:10.460 --> 01:44:14.460]  by providing a full selection of silver-based products.
[01:44:14.460 --> 01:44:19.460]  Our most popular silver-based products are the 32-ounce nano silver solutions,
[01:44:19.460 --> 01:44:25.460]  our 2-ounce nano silver nasal applicators, as well as our all-natural silver soaps.
[01:44:25.460 --> 01:44:29.460]  Just released is our 100% natural silver gel.
[01:44:29.460 --> 01:44:33.460]  Our new silver gel is not based on synthetic gelling agents,
[01:44:33.460 --> 01:44:36.460]  which quickly evaporate and leave the silver at the surface.
[01:44:36.460 --> 01:44:39.460]  But rather, we have formulated our silver gel
[01:44:39.460 --> 01:44:42.460]  using the natural skin-nourishing chemistry of aloe vera
[01:44:42.460 --> 01:44:47.460]  to quickly penetrate and nourish the skin while delivering the silver more effectively.
[01:44:47.460 --> 01:44:52.460]  Visit www.silverlungs.com and click on our store page
[01:44:52.460 --> 01:44:56.460]  to find what silver-based products are best for you.
[01:44:56.460 --> 01:45:20.460]  That's www.silverlungs.com.
[01:45:27.460 --> 01:45:30.460]  It is the only one that does it, and out of the gates,
[01:45:30.460 --> 01:45:33.460]  we have it discounted at 10% off with promo code WATER.
[01:45:33.460 --> 01:45:38.460]  This is the only system that in one unit helps reduce or remove
[01:45:38.460 --> 01:45:42.460]  pesticides, herbicides, chloramines, ammonia and chlorine,
[01:45:42.460 --> 01:45:46.460]  hydrofluorosilicic acid, the most common form of fluoride
[01:45:46.460 --> 01:45:50.460]  not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[01:45:50.460 --> 01:45:55.460]  Get your Pro-Pure with the new Pro 1 filters today at info-warstore.com
[01:45:55.460 --> 01:45:59.460]  or by calling 888-253-3139.
[01:46:25.460 --> 01:46:28.460]  Supernatural silver is superior to colloidal and ionic silvers
[01:46:28.460 --> 01:46:31.460]  using a patented technology that is highly effective against
[01:46:31.460 --> 01:46:34.460]  colds, flus, infections, food poisoning and yeast,
[01:46:34.460 --> 01:46:36.460]  in addition to many other pathogens.
[01:46:36.460 --> 01:46:41.460]  Supernatural silver is scientifically supported, extremely safe,
[01:46:41.460 --> 01:46:45.460]  and is the number one choice of thousands of people for immune system support.
[01:46:45.460 --> 01:46:49.460]  Find out how supernatural silver could change your life.
[01:46:49.460 --> 01:46:54.460]  Go to www.supernaturalsilver.com and use the promo code HEALTHY for 20% off.
